,Predicted Class,Class 1 Prob,Class 2 Prob,UNIQUE_ID,Protected
456,0.0,0.6289934273469888,0.3710065726530113,245156124,0
764,0.0,0.6244635039270409,0.37553649607295936,124928398,0
1440,0.0,0.6221927109415478,0.3778072890584525,125203157,0
966,0.0,0.6214397743374446,0.3785602256625556,245124901,0
1133,0.0,0.6204603843735664,0.3795396156264336,245139485,0
1145,0.0,0.6191937163583036,0.3808062836416966,129477105,0
2050,0.0,0.6168283307312318,0.3831716692687685,244963197,0
479,0.0,0.6165588918270418,0.38344110817295834,245255482,0
305,0.0,0.6145186217398783,0.38548137826012185,239610576,0
664,0.0,0.6142958034645549,0.38570419653544535,245079281,0
1327,0.0,0.6141544364068618,0.3858455635931383,245156067,0
1877,0.0,0.6135330782999315,0.3864669217000685,239601948,0
230,0.0,0.6134313769080687,0.38656862309193146,245130587,0
1642,0.0,0.6133922517165753,0.3866077482834249,128532209,0
1748,0.0,0.6126375711330496,0.38736242886695044,239439734,0
734,0.0,0.6123671431294226,0.38763285687057736,244988989,0
1680,0.0,0.612095206933855,0.38790479306614517,245152617,0
2144,0.0,0.6120297671211641,0.38797023287883625,245180725,0
29,0.0,0.6116572393616666,0.38834276063833356,245152282,0
803,0.0,0.611362399327038,0.388637600672962,124901647,0
1686,0.0,0.6112938775130293,0.38870612248697095,245140686,0
1919,0.0,0.6112911240027659,0.38870887599723425,244967967,0
426,0.0,0.6109970424961403,0.3890029575038599,245081230,0
242,0.0,0.6104265143865699,0.38957348561343025,245174356,0
1754,0.0,0.6100721352702536,0.38992786472974655,245114180,0
904,0.0,0.6094036166191809,0.39059638338081926,245119223,0
1635,0.0,0.6092977175796979,0.3907022824203023,245202809,0
1197,0.0,0.6092552058069923,0.39074479419300784,245046454,0
1594,0.0,0.6085292597520848,0.3914707402479152,244985666,0
609,0.0,0.6085190109144505,0.39148098908554974,245078434,0
1888,0.0,0.6084108194723303,0.39158918052766994,245047913,0
1494,0.0,0.6083624894819498,0.3916375105180505,245135068,0
445,0.0,0.6077917173865602,0.3922082826134401,244984652,0
1559,0.0,0.6077241845206631,0.39227581547933704,245129244,0
537,0.0,0.6076569820889225,0.39234301791107756,244786953,0
1313,0.0,0.6074045365411143,0.39259546345888596,245246968,0
1716,0.0,0.6069042790540846,0.3930957209459155,245202457,0
1958,0.0,0.6068544636480823,0.39314553635191785,245172178,0
450,0.0,0.6067528750812837,0.3932471249187165,245090473,0
597,0.0,0.6067395560977107,0.3932604439022896,245060886,0
1615,0.0,0.6063181225130095,0.3936818774869905,245097023,0
1381,0.0,0.6061563917331753,0.3938436082668248,245251766,0
971,0.0,0.606139531992278,0.3938604680077221,245109070,0
1711,0.0,0.6056536167006086,0.3943463832993917,228615774,0
212,0.0,0.605362281565,0.3946377184350003,244930818,0
2031,0.0,0.6050382554601067,0.3949617445398935,245022833,0
2045,0.0,0.6047576973152363,0.39524230268476396,245085379,0
152,0.0,0.6046328848326341,0.3953671151673661,245066239,0
670,0.0,0.6043605354570663,0.39563946454293386,245230656,0
449,0.0,0.6041930606614074,0.3958069393385927,235944592,0
157,0.0,0.6039394221128327,0.3960605778871675,245160608,0
1411,0.0,0.6037197218202308,0.39628027817976935,245186480,0
768,0.0,0.6036890618600613,0.3963109381399386,245090896,0
1664,0.0,0.6035216966906408,0.3964783033093592,245192846,0
1622,0.0,0.6031696276043157,0.3968303723956844,245155707,0
