UNIQUE_ID,Overall_Rating,Technical_Skills,Teamwork,Customer_Service,Hire_Again,High_Performer,Protected_Group,Retained,Biodata_01,Biodata_02,Biodata_03,Biodata_04,Biodata_05,Biodata_06,Biodata_07,Biodata_08,Biodata_09,Biodata_10,Biodata_11,Biodata_12,Biodata_13,Biodata_14,Biodata_15,Biodata_16,Biodata_17,Biodata_18,Biodata_19,Biodata_20,SJ_Time_1,SJ_Time_2,SJ_Time_3,SJ_Time_4,SJ_Time_5,SJ_Time_6,SJ_Time_7,SJ_Time_8,SJ_Time_9,SJ_Most_1_score,SJ_Most_2_score,SJ_Most_3_score,SJ_Most_4_score,SJ_Most_5_score,SJ_Most_6_score,SJ_Most_7_score,SJ_Most_8_score,SJ_Most_9_score,SJ_Least_1_score,SJ_Least_2_score,SJ_Least_3_score,SJ_Least_4_score,SJ_Least_5_score,SJ_Least_6_score,SJ_Least_7_score,SJ_Least_8_score,SJ_Least_9_score,Scenario1_Time,Scenario2_Time,Scenario1_1_score,Scenario1_2_score,Scenario1_3_score,Scenario1_4_score,Scenario1_5_score,Scenario1_6_score,Scenario1_7_score,Scenario1_8_score,Scenario2_1_score,Scenario2_2_score,Scenario2_3_score,Scenario2_4_score,Scenario2_5_score,Scenario2_6_score,Scenario2_7_score,Scenario2_8_score,average_S1,average_S2,average_S3,average_S4,average_S5,average_S6,average_S7,average_S8,average_S9,average_S10,average_S11,average_S12,average_S13,SJ_Total_1_score,SJ_Total_2_score,SJ_Total_3_score,SJ_Total_4_score,SJ_Total_5_score,SJ_Total_6_score,SJ_Total_7_score,SJ_Total_8_score,SJ_Total_9_score,hasPerf,SJ_Sum,pred_high_perf,Filled_High_Performer
245174982,4.0,4.0,4.0,4.0,5.0,1.0,0.0,1.0,2.0,1.0,2.0,7.0,1.0,1.0,2.0,1.0,7.0,1.0,1.0,2.0,4.0,3.0,2.0,5.0,7.0,7.0,2.0,1.0,110.0,86.0,52.0,109.0,103.0,72.0,79.0,59.0,140.0,0.0,0.0,1.0,1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,75.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.75,3.75,2.0,3.0,3.75,1.0,2.0,1.0,2.0,2.25,1.5,2.25,0.0,1.0,1.0,2.0,2.0,-1.0,2.0,1.0,0.0,1,8.0,1.0,1.0
244953017,4.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,5.0,7.0,1.0,1.0,1.0,6.0,3.0,4.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,3.0,7.0,1.0,26.0,24.0,23.0,38.0,32.0,20.0,17.0,23.0,26.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,4.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0,1.25,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1,11.0,1.0,1.0
245082123,5.0,4.0,5.0,4.0,5.0,1.0,0.0,1.0,2.0,5.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,7.0,3.0,4.0,1.0,94.0,37.0,58.0,38.0,16.0,37.0,20.0,38.0,52.0,1.0,0.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,47.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.75,3.0,2.75,2.75,4.75,1.0,2.5,1.0,1.75,4.0,1.25,1.25,2.0,1.0,2.0,2.0,2.0,-1.0,1.0,1.0,1.0,1,11.0,1.0,1.0
245065893,4.0,4.0,4.0,4.0,5.0,1.0,0.0,1.0,2.0,1.0,5.0,7.0,1.0,1.0,2.0,1.0,7.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,7.0,6.0,1.0,65.0,109.14285714285714,419.0,91.0,54.0,64.0,49.0,111.0,109.0,1.0,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.0,0.42857142857142855,0.0,1.0,0.0,1.0,1.0,1.0,0.7142857142857143,85.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.75,4.0,1.5,3.25,5.25,1.25,2.5,2.0,1.5,2.25,2.0,2.25,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1,13.0,1.0,1.0
245141127,5.0,5.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,3.0,4.0,2.0,2.0,5.0,2.0,3.0,5.0,1.0,31.0,24.0,23.0,36.0,20.0,36.0,24.0,26.0,51.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,27.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,3.75,3.25,1.5,3.75,5.0,1.75,1.75,1.5,1.0,2.25,1.75,3.75,1.0,2.0,-1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,9.0,1.0,1.0
243125925,5.0,4.0,5.0,3.0,5.0,1.0,0.0,1.0,1.0,3.0,3.0,5.0,2.0,1.0,1.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,82.0,97.0,114.0,83.0,73.0,69.0,42.0,51.0,133.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,76.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,2.5,2.0,2.0,1.0,3.75,1.25,1.25,1.0,1.75,4.0,1.25,3.25,1.0,2.0,-1.0,2.0,1.0,1.0,1.0,1.0,0.0,1,8.0,0.0,1.0
245177236,4.0,4.0,4.0,4.0,4.0,1.0,0.0,1.0,2.0,4.0,5.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,5.0,7.0,2.0,5.0,1.0,44.0,47.0,45.0,31.0,24.0,23.0,24.0,34.0,42.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,33.0,33.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,3.75,4.5,1.25,2.25,1.75,1.5,2.0,2.75,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1,13.0,1.0,1.0
245116480,4.0,3.0,4.0,3.0,5.0,1.0,0.0,1.0,2.0,3.0,5.0,4.0,2.0,2.0,2.0,6.0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,5.0,2.0,3.0,6.0,1.0,47.0,40.0,60.0,51.0,37.0,41.0,33.0,55.0,45.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,41.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.25,1.0,4.0,5.25,1.0,2.0,1.0,1.0,1.0,1.0,1.25,1.0,2.0,1.0,-1.0,2.0,1.0,2.0,1.0,0.0,1,9.0,1.0,1.0
241587033,4.0,4.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,7.0,4.0,6.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,5.0,6.0,1.0,23.0,30.0,43.0,29.0,33.0,30.0,25.0,22.0,37.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,41.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.75,3.25,2.5,3.25,6.0,1.0,3.25,1.0,1.0,1.25,1.25,1.25,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1,13.0,1.0,1.0
244968615,4.0,3.0,4.0,4.0,5.0,1.0,0.0,1.0,2.0,7.0,2.0,3.0,2.0,1.0,4.0,6.0,2.0,5.0,1.0,3.0,4.0,1.0,2.0,5.0,2.0,4.0,5.0,1.0,58.0,58.0,48.0,64.0,51.0,35.0,30.0,57.0,60.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,73.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,4.0,4.0,2.75,1.75,5.75,1.25,2.5,1.0,1.0,1.75,2.25,1.75,1.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1,11.0,1.0,1.0
245078947,4.0,4.0,4.0,4.0,5.0,1.0,0.0,1.0,3.0,1.0,2.0,7.0,1.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,4.0,3.0,2.0,5.0,7.0,7.0,6.0,1.0,32.0,49.0,82.0,61.0,28.0,22.0,48.0,31.0,31.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,64.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.75,1.5,4.0,5.5,1.0,1.75,1.0,1.25,3.0,1.5,2.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1,10.0,1.0,1.0
245056245,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,6.0,5.0,1.0,2.0,2.0,1.0,7.0,6.0,7.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,6.0,5.0,3.0,100.0,95.0,159.0,102.0,144.0,73.0,157.0,222.0,127.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,59.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,4.0,2.0,2.75,3.0,4.25,1.5,2.0,1.0,1.75,2.5,1.0,2.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1,9.0,1.0,1.0
245113326,5.0,4.0,5.0,5.0,5.0,1.0,0.0,1.0,2.0,1.0,3.0,6.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,4.0,1.0,2.0,1.0,80.0,59.0,93.0,69.0,38.0,41.0,42.0,66.0,46.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,58.0,113.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.25,3.0,1.75,1.25,3.75,1.0,2.75,1.0,1.0,2.25,1.25,2.25,1.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1,11.0,0.0,1.0
245145398,3.0,3.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,4.0,1.0,2.0,5.0,2.0,1.0,2.0,1.0,53.0,91.0,63.0,67.0,99.0,62.0,39.0,32.0,82.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,44.0,38.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,3.75,4.0,4.0,1.0,3.75,4.5,1.0,1.0,1.0,1.0,1.0,2.25,2.5,1.0,2.0,-1.0,2.0,1.0,2.0,1.0,1.0,0.0,1,9.0,0.0,1.0
