UNIQUE_ID,Biodata_01,Biodata_02,Biodata_03,Biodata_04,Biodata_05,Biodata_06,Biodata_07,Biodata_08,Biodata_09,Biodata_10,Biodata_11,Biodata_12,Biodata_13,Biodata_14,Biodata_15,Biodata_16,Biodata_17,Biodata_18,Biodata_19,Biodata_20,SJ_Time_1,SJ_Time_2,SJ_Time_3,SJ_Time_4,SJ_Time_5,SJ_Time_6,SJ_Time_7,SJ_Time_8,SJ_Time_9,SJ_Most_1_score,SJ_Most_2_score,SJ_Most_3_score,SJ_Most_4_score,SJ_Most_5_score,SJ_Most_6_score,SJ_Most_7_score,SJ_Most_8_score,SJ_Most_9_score,SJ_Least_1_score,SJ_Least_2_score,SJ_Least_3_score,SJ_Least_4_score,SJ_Least_5_score,SJ_Least_6_score,SJ_Least_7_score,SJ_Least_8_score,SJ_Least_9_score,Scenario1_Time,Scenario2_Time,Scenario1_1_score,Scenario1_2_score,Scenario1_3_score,Scenario1_4_score,Scenario1_5_score,Scenario1_6_score,Scenario1_7_score,Scenario1_8_score,Scenario2_1_score,Scenario2_2_score,Scenario2_3_score,Scenario2_4_score,Scenario2_5_score,Scenario2_6_score,Scenario2_7_score,Scenario2_8_score,average_S1,average_S2,average_S3,average_S4,average_S5,average_S6,average_S7,average_S8,average_S9,average_S10,average_S11,average_S12,average_S13,SJ_Total_1_score,SJ_Total_2_score,SJ_Total_3_score,SJ_Total_4_score,SJ_Total_5_score,SJ_Total_6_score,SJ_Total_7_score,SJ_Total_8_score,SJ_Total_9_score,Overall_Rating,hasPerf
245203329,2.0,1.0,2.0,5.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,5.0,2.0,2.0,5.0,3.0,3.0,2.0,1.0,42.0,61.0,40.0,52.0,42.0,45.0,23.0,51.0,51.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,45.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.75,2.75,3.5,2.5,1.0,4.0,1.0,1.5,1.0,1.75,1.0,1.0,2.5,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,,0
245255130,1.0,3.0,6.0,1.0,2.0,2.0,2.0,7.0,2.0,7.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,6.0,4.0,1.0,117.0,89.0,79.0,138.0,69.0,61.0,50.0,73.0,213.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,102.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,4.0,3.5,2.0,4.0,5.0,1.0,3.0,1.0,1.25,2.0,2.5,1.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,0
245127268,2.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0,2.0,6.0,3.0,2.0,1.0,4.0,5.0,2.0,1.0,40.0,114.0,69.0,73.0,41.0,31.0,34.0,39.0,37.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,58.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.75,2.25,3.0,2.5,4.0,1.75,2.25,1.75,2.0,2.0,2.25,2.5,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0
245117275,3.0,4.0,5.0,7.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,4.0,3.0,1.0,5.0,7.0,7.0,7.0,1.0,92.0,65.0,126.0,134.0,52.0,66.0,43.0,107.0,71.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,42.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,4.0,4.0,2.75,1.75,5.5,1.0,3.25,1.0,1.0,3.0,1.25,1.5,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,0
231615474,2.0,5.0,5.0,1.0,2.0,1.0,2.0,8.0,6.0,7.0,1.0,2.0,4.0,2.0,2.0,5.0,2.0,6.0,5.0,2.0,97.0,46.0,43.0,47.0,51.0,51.0,37.0,67.0,44.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,54.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,3.25,4.0,3.142857142857143,1.0,4.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0,1.25,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,0
245225283,3.0,4.0,5.0,4.0,2.0,2.0,1.0,6.0,3.0,4.0,1.0,3.0,3.0,2.0,2.0,5.0,3.0,3.0,4.0,1.0,30.0,68.0,97.0,248.0,46.0,28.0,26.0,45.0,65.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,70.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.5,2.0,2.0,1.75,4.5,1.75,2.0,1.25,1.5,3.0,1.75,2.25,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,,0
125594054,2.0,5.0,5.0,1.0,2.0,1.0,2.0,8.0,1.0,7.0,1.0,2.0,1.0,2.0,2.0,5.0,2.0,5.0,6.0,1.0,51.0,73.0,60.0,55.0,54.0,50.0,45.0,58.0,69.0,-1.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,232.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,4.0,4.0,3.25,1.0,2.5,4.0,1.0,3.25,1.0,1.0,1.0,1.0,2.25,-1.0,1.0,0.0,-1.0,2.0,1.0,2.0,0.0,2.0,,0
245217086,6.0,1.0,1.0,7.0,1.0,1.0,6.0,1.0,7.0,1.0,1.0,1.0,4.0,6.0,1.0,5.0,7.0,7.0,3.0,1.0,148.0,74.0,39.0,89.0,32.0,26.0,33.0,29.0,68.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,35.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.75,4.0,1.75,1.0,4.5,1.0,1.75,1.0,1.25,2.5,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,,0
245101153,2.0,4.0,3.0,3.0,2.0,2.0,1.0,7.0,2.0,5.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0,1.0,1.0,125.0,108.0,341.0,100.0,167.0,112.0,71.0,56.0,119.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,154.0,97.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.5,2.25,3.75,4.0,1.0,2.75,1.0,1.75,2.5,2.0,2.75,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,0
245129097,2.0,3.0,2.0,4.0,1.0,3.0,2.0,6.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,5.0,3.0,3.0,6.0,1.0,44.0,43.0,44.0,61.0,30.0,24.0,31.0,30.0,33.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,65.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,3.25,3.75,1.0,4.0,5.0,1.25,1.5,1.0,1.0,1.25,1.0,1.75,2.0,2.0,-1.0,-1.0,1.0,2.0,1.0,2.0,1.0,,0
232621120,1.0,3.0,5.0,1.0,1.0,2.0,1.0,8.0,4.0,6.0,1.0,1.0,4.0,2.0,1.0,5.0,1.0,4.0,1.0,1.0,92.0,71.0,61.0,105.0,53.0,67.0,49.0,60.0,160.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,47.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,2.5,5.5,2.75,4.0,1.5,1.0,1.25,1.25,1.25,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,,0
