var,error_type,error_value
SJ_Most_1,PFC,0.3743365962967331
SJ_Least_1,PFC,0.4793725675197547
SJ_Most_2,PFC,0.28002737269337863
SJ_Least_2,PFC,0.3570720656944641
SJ_Most_3,PFC,0.2964679159568427
SJ_Least_3,PFC,0.5908461101646791
SJ_Most_4,PFC,0.28285214546941373
SJ_Least_4,PFC,0.42782182041205735
SJ_Most_5,PFC,0.14188038071008335
SJ_Least_5,PFC,0.37728005815142085
SJ_Most_6,PFC,0.4511705002157081
SJ_Least_6,PFC,0.22152085556640402
SJ_Most_7,PFC,0.22115712241328397
SJ_Least_7,PFC,0.4881084887445199
SJ_Most_8,PFC,0.43271174506552795
SJ_Least_8,PFC,0.43125809162559336
SJ_Most_9,PFC,0.5159056333870712
SJ_Least_9,PFC,0.3691333075997366
Biodata_01,PFC,0.26465699779148927
Biodata_02,PFC,0.5109071864468531
Biodata_03,PFC,0.6170968182438891
Biodata_04,PFC,0.26706616842872766
Biodata_05,PFC,0.26879099854227406
Biodata_06,PFC,0.3549040584526438
Biodata_07,PFC,0.37992529494829863
Biodata_08,PFC,0.426632971336202
Biodata_09,PFC,0.344803290983886
Biodata_10,PFC,0.37419589480144566
Biodata_11,PFC,0.0560402761008725
Biodata_12,PFC,0.36036507647487254
Biodata_13,PFC,0.5108262562327816
Biodata_14,PFC,0.3649427250575027
Biodata_15,PFC,0.2502218682443964
Biodata_16,PFC,0.42677061250541387
Biodata_17,PFC,0.33780215778212774
Biodata_18,PFC,0.19496669470525382
Biodata_19,PFC,0.7793080600123053
Biodata_20,PFC,0.09446632218706608
PScale01_Q1,PFC,0.3199745257699131
PScale01_Q2,PFC,0.2942567951779825
PScale01_Q3,PFC,0.32000546162073595
PScale01_Q4,PFC,0.31148175116046234
PScale02_Q1,PFC,0.2195077566989673
PScale02_Q2,PFC,0.22335325259594194
PScale02_Q3,PFC,0.32995721048798254
PScale02_Q4,PFC,0.4455528791528428
PScale03_Q1,PFC,0.37449963609898107
PScale03_Q2,PFC,0.26751911175828175
PScale03_Q3,PFC,0.40403649684862
PScale03_Q4,PFC,0.3851425188962754
PScale04_Q1,PFC,0.274965862539827
PScale04_Q2,PFC,0.28027854899640436
PScale04_Q3,PFC,0.25272450117170614
PScale04_Q4,PFC,0.2794167822942019
PScale05_Q1,PFC,0.31150748509805704
PScale05_Q2,PFC,0.3844263414190143
PScale05_Q3,PFC,0.33222598921477164
PScale05_Q4,PFC,0.3141127747690347
PScale06_Q1,PFC,0.3954563044913383
PScale06_Q2,PFC,0.4363979705594612
PScale06_Q3,PFC,0.42641638225255973
PScale06_Q4,PFC,0.24863009026625132
PScale06_Q5,PFC,0.28423901917521555
PScale06_Q6,PFC,0.12470984479541214
PScale07_Q1,PFC,0.17894114167406092
PScale07_Q2,PFC,0.31181424994309126
PScale07_Q3,PFC,0.1888582936986551
PScale07_Q4,PFC,0.1783698916901793
PScale08_Q1,PFC,0.4276059799303707
PScale08_Q2,PFC,0.3585163272272158
PScale08_Q3,PFC,0.4152617568766637
PScale08_Q4,PFC,0.4318998862343572
PScale09_Q1,PFC,0.14653897773026092
PScale09_Q2,PFC,0.15519046102034315
PScale09_Q3,PFC,0.09134560680882052
PScale09_Q4,PFC,0.11923015674409082
PScale10_Q1,PFC,0.23236070648215587
PScale10_Q2,PFC,0.21567556496210827
PScale10_Q3,PFC,0.2128850266163156
PScale10_Q4,PFC,0.2149683702726073
PScale11_Q1,PFC,0.4114314318869599
PScale11_Q2,PFC,0.3084709521859788
PScale11_Q3,PFC,0.3350242260185164
PScale11_Q4,PFC,0.37091198544462134
PScale12_Q1,PFC,0.29081435300006825
PScale12_Q2,PFC,0.2926246300933303
PScale12_Q3,PFC,0.40853145262199975
PScale12_Q4,PFC,0.2853631895139268
PScale13_Q1,PFC,0.29982980332829046
PScale13_Q2,PFC,0.21668989300139357
PScale13_Q3,PFC,0.252540530320934
PScale13_Q4,PFC,0.4109877126654064
PScale13_Q5,PFC,0.5410227326433197
Scenario1_1,RMSE,0.22038118393853667
Scenario1_2,RMSE,0.25714865378814467
Scenario1_3,RMSE,0.7240837107886222
Scenario1_4,RMSE,0.6387893032846681
Scenario1_5,RMSE,0.21805332423924736
Scenario1_6,RMSE,0.3035687327683351
Scenario1_7,RMSE,0.43064516021481525
Scenario1_8,RMSE,0.6361555632251537
Scenario2_1,RMSE,0.37526142019929126
Scenario2_2,RMSE,0.3343377161428673
Scenario2_3,RMSE,0.7083260319308471
Scenario2_4,RMSE,0.6836266466350158
Scenario2_5,RMSE,0.3614563493711964
Scenario2_6,RMSE,0.3645851638327517
Scenario2_7,RMSE,0.40438596924643505
Scenario2_8,RMSE,0.49800302526160656
SJ_Time_1,RMSE,0.4350252579368013
SJ_Time_2,RMSE,0.4538970230478562
SJ_Time_3,RMSE,0.46147402095691487
SJ_Time_4,RMSE,0.4568549665335534
SJ_Time_5,RMSE,0.4282264307428949
SJ_Time_6,RMSE,0.47403254490519303
SJ_Time_7,RMSE,0.428552975929006
SJ_Time_8,RMSE,0.4232206346429365
SJ_Time_9,RMSE,0.46373119089464776
Scenario1_Time,RMSE,0.438477708397309
Scenario2_Time,RMSE,0.45924253522563735
