var,error_type,error_value
SJ_Most_1,PFC,0.47274442740889255
SJ_Least_1,PFC,0.5958485670480009
SJ_Time_1,RMSE,78.76557908352989
SJ_Most_2,PFC,0.37899381754684036
SJ_Least_2,PFC,0.46776629383170515
SJ_Time_2,RMSE,105.21176668157817
SJ_Most_3,PFC,0.4582396365701306
SJ_Least_3,PFC,0.6642362294151051
SJ_Time_3,RMSE,76.67041383382009
SJ_Most_4,PFC,0.4076732617041092
SJ_Least_4,PFC,0.5657497217363651
SJ_Time_4,RMSE,66.34458792865404
SJ_Most_5,PFC,0.17470413193103604
SJ_Least_5,PFC,0.4724348635940304
SJ_Time_5,RMSE,92.50635427236396
SJ_Most_6,PFC,0.5531890738175791
SJ_Least_6,PFC,0.3057151290842624
SJ_Time_6,RMSE,96.04214368091567
SJ_Most_7,PFC,0.289575903504986
SJ_Least_7,PFC,0.5666583376871182
SJ_Time_7,RMSE,96.43300320799561
SJ_Most_8,PFC,0.48704204238308313
SJ_Least_8,PFC,0.4856792422831444
SJ_Time_8,RMSE,71.94693406879288
SJ_Most_9,PFC,0.5848413977884245
SJ_Least_9,PFC,0.45948093821666175
SJ_Time_9,RMSE,82.23950405964396
Scenario1_1,RMSE,0.29152629008085545
Scenario1_2,RMSE,0.38740153044689835
Scenario1_3,RMSE,0.7845752809052849
Scenario1_4,RMSE,0.7914170165616066
Scenario1_5,RMSE,0.3373443479996506
Scenario1_6,RMSE,0.45489991280041076
Scenario1_7,RMSE,0.5371266030756457
Scenario1_8,RMSE,0.826745957039393
Scenario1_Time,RMSE,113.07687250775187
Scenario2_1,RMSE,0.5298815560889901
Scenario2_2,RMSE,0.7078812069683058
Scenario2_3,RMSE,0.8288719504475756
Scenario2_4,RMSE,0.8025473952287275
Scenario2_5,RMSE,0.45642023950634697
Scenario2_6,RMSE,0.5754128567150547
Scenario2_7,RMSE,0.48269166538750186
Scenario2_8,RMSE,0.6083405052268056
Scenario2_Time,RMSE,307.53208256264696
Biodata_01,PFC,0.4053414084378771
Biodata_02,PFC,0.6710766007833135
Biodata_03,PFC,0.7269789248486503
Biodata_04,PFC,0.43672530076558513
Biodata_05,PFC,0.33939959912536444
Biodata_06,PFC,0.47080782100015933
Biodata_07,PFC,0.5033252858379265
Biodata_08,PFC,0.5592058830225622
Biodata_09,PFC,0.5657174026682424
Biodata_10,PFC,0.5585888664105653
Biodata_11,PFC,0.05993575870788437
Biodata_12,PFC,0.47985706482155865
Biodata_13,PFC,0.5902643382436648
Biodata_14,PFC,0.4896039716699688
Biodata_15,PFC,0.3829787234042553
Biodata_16,PFC,0.5045932207253414
Biodata_17,PFC,0.4529976783356853
Biodata_18,PFC,0.48136949553277103
Biodata_19,PFC,0.808343982204553
Biodata_20,PFC,0.1082379185540962
PScale01_Q1,PFC,0.43877086839830776
PScale01_Q2,PFC,0.40702831798021155
PScale01_Q3,PFC,0.4459640898436611
PScale01_Q4,PFC,0.42602621279694186
PScale02_Q1,PFC,0.27651153268732087
PScale02_Q2,PFC,0.26772852241485084
PScale02_Q3,PFC,0.4087764020393299
PScale02_Q4,PFC,0.523633140935327
PScale03_Q1,PFC,0.44684770742358076
PScale03_Q2,PFC,0.33445576993083365
PScale03_Q3,PFC,0.5030148581310155
PScale03_Q4,PFC,0.4711319551953374
PScale04_Q1,PFC,0.4356850250341375
PScale04_Q2,PFC,0.4068772472805061
PScale04_Q3,PFC,0.41778718176233703
PScale04_Q4,PFC,0.3985169346950845
PScale05_Q1,PFC,0.4340219320198389
PScale05_Q2,PFC,0.4871660674464115
PScale05_Q3,PFC,0.44371885594666544
PScale05_Q4,PFC,0.424134164656624
PScale06_Q1,PFC,0.4808668533315122
PScale06_Q2,PFC,0.5384842900370851
PScale06_Q3,PFC,0.5167235494880547
PScale06_Q4,PFC,0.3028807894318001
PScale06_Q5,PFC,0.3527511771262198
PScale06_Q6,PFC,0.14730781484684358
PScale07_Q1,PFC,0.23406820922348873
PScale07_Q2,PFC,0.37514227179603915
PScale07_Q3,PFC,0.2264524497644676
PScale07_Q4,PFC,0.2235369072540275
PScale08_Q1,PFC,0.5462488907092634
PScale08_Q2,PFC,0.4704744567072477
PScale08_Q3,PFC,0.5363911450867973
PScale08_Q4,PFC,0.5531968145620023
PScale09_Q1,PFC,0.19146516230295035
PScale09_Q2,PFC,0.21430846948527738
PScale09_Q3,PFC,0.11296452222196937
PScale09_Q4,PFC,0.16573014536933822
PScale10_Q1,PFC,0.2833439548434086
PScale10_Q2,PFC,0.2677226280694568
PScale10_Q3,PFC,0.25660858091814914
PScale10_Q4,PFC,0.2727893323624448
PScale11_Q1,PFC,0.49552890850758835
PScale11_Q2,PFC,0.42115918293071286
PScale11_Q3,PFC,0.4391164896157958
PScale11_Q4,PFC,0.47698430748237436
PScale12_Q1,PFC,0.38228401101276477
PScale12_Q2,PFC,0.3662417482358297
PScale12_Q3,PFC,0.5277670344670686
PScale12_Q4,PFC,0.3636901511014018
PScale13_Q1,PFC,0.36660835854765506
PScale13_Q2,PFC,0.26990575619434537
PScale13_Q3,PFC,0.31545115091931747
PScale13_Q4,PFC,0.5093100189035917
PScale13_Q5,PFC,0.6202561557729571
