UNIQUE_ID,Overall_Rating,Technical_Skills,Teamwork,Customer_Service,Hire_Again,High_Performer,Protected_Group,Retained
245021089,3,3,4,4,4,0,0,1
245181465,5,5,5,5,5,1,1,0
229682665,3,3,3,3,4,0,1,0
245174982,4,4,4,4,5,1,0,1
244979030,2,2,3,2,3,0,0,1
244953017,4,4,5,4,4,1,1,1
245079943,3.5,3,3,3,4,0,0,1
245005686,3,4,3,3,4,0,1,1
245082123,5,4,5,4,5,1,0,1
245048457,2,2,2,2,2,0,0,0
245065893,4,4,4,4,5,1,0,1
244294286,4,4,4,4,5,1,0,0
240007576,2,3,3,3,2,0,1,0
245027782,3,3,4,3,3,0,0,1
245052844,3,3,3,2,4,0,0,0
245135956,3,2,3,2,4,0,1,1
245108299,2,2,2,2,2,0,0,1
245102955,3,3,3,3,5,0,1,1
245047664,4,4,3,3,4,0,0,1
245175503,3.5,3,3.5,3.5,4.5,0,0,1
245169205,3,3,4,3,5,0,0,0
245190491,3,4,2,3,4,0,0,0
230472466,3,3,3,3,5,0,1,0
245140140,3,2,3,4,2,0,0,1
245097669,2,2,2,2,3,0,0,0
245141127,5,5,5,5,5,1,0,1
243125925,5,4,5,3,5,1,0,1
245046857,3,3,4,4,4,0,0,1
245064009,2,2,3,3,2,0,1,1
244997539,3,3,3,3.5,4,0,0,0
245100454,2,2,2,4,2,0,1,0
245177236,4,4,4,4,4,1,0,1
245116480,4,3,4,3,5,1,0,1
126096799,3,3,3,3,4,0,0,1
244077674,2,3,3,3,2,0,0,0
241587033,4,4,4,5,5,1,1,1
245172884,2,2,2,2,4,0,1,0
245240099,2,2,3,2,2,0,1,0
245212936,3,3,3,3,4,0,1,0
244268979,2,3,3,2,2,0,1,1
245116652,3,3,4,4,4,0,1,0
244968615,4,3,4,4,5,1,0,1
245217084,1,1,1,1,1,0,0,0
245092884,3,3,3,3,5,0,0,1
245078947,4,4,4,4,5,1,0,1
245056245,5,5,5,5,5,1,1,1
245113326,5,4,5,5,5,1,0,1
245145398,3,3,4,4,5,1,1,1
245254382,2,3,2,3,3,0,1,0
244975130,4,4,4,4,5,1,0,1
245203228,4,4,4,4,4,1,0,0
245040507,2,3,3.5,3.5,3,0,1,0
245075681,4,4,4,4,5,1,0,1
244979128,5,5,5,5,5,1,0,1
244978145,4,4,4,4,4,1,1,0
128156332,4,4,4,5,5,1,0,0
244988831,4,3,4,5,5,1,0,1
245086858,2,2,2,3,3,0,1,1
245205751,3,3,4,3,4,0,0,1
242349691,4,4,4,4,5,1,0,1
245145566,3,3,3,3,4,0,0,0
245171683,4,3,5,3,5,1,1,1
245113383,3,2,1,2,2,0,0,1
240377021,4,4,4,4,5,1,0,0
245109714,4,4,4,3,5,1,0,1
121031960,3,4,4,5,5,1,0,1
245112083,3,3,4,4,5,1,1,1
237737609,3.5,3,3,3.5,4.5,0,0,0
245012814,4,4,4,4,5,1,0,1
245059430,2,1,1,3,3,0,1,1
245225854,4,5,5,5,5,1,0,0
245174302,3,3,3,3,3,0,0,1
245255866,4,4,4,4,5,1,0,0
245180688,3,3,3,3,4,0,0,0
245037777,5,5,5,5,5,1,0,1
239673529,4,4,4,4,5,1,0,1
244941321,3,4,4,3,5,1,1,0
239417749,2.5,2.5,3,3,3.5,0,0,0
243307699,3,3,3,3,4,0,0,0
245145426,5,5,5,5,5,1,1,1
245240576,3,3,3,3,5,0,0,0
245187321,4,4,4,3,5,1,1,0
245089375,2,3,3,4,4,0,1,1
245123419,3,3,3,3,4,0,1,1
245135727,3,3,3,3,4,0,1,1
245085363,4,4,3,5,4,1,1,0
244988022,2,2,2,2,2,0,0,0
245196662,4,4,4,4,5,1,1,1
245174721,2,2,2,3,3,0,1,1
232853596,4,4,4,4,5,1,0,0
244956729,2,2,2,3,3,0,1,1
245020933,5,4,4,5,5,1,0,1
245191637,5,4,5,5,5,1,0,1
123004689,2,2,3,3,2,0,1,1
241935259,4,4,4,4,4,1,1,1
245215953,3,3,3,4,4,0,0,0
245057988,5,5,5,5,5,1,1,1
245159582,3,3,3,3,5,0,1,1
245254284,3,3,3,3,4,0,1,0
240889788,4,4,4,4,4,1,1,0
242114186,3,3,3,3,5,0,0,1
245006312,4,4,4,4,5,1,0,1
245014518,3,2,3,3,3,0,0,0
242021816,3,3,3,3,3,0,0,0
244995996,4,3,4,4,5,1,1,1
245173281,3,3.5,4,4,4,0,0,1
245084496,4,3,3,4,5,1,0,1
245010131,3,3,3,3,4,0,0,1
245155664,3,3,3,3,4,0,1,0
244993435,3,3,3,2,4,0,1,0
245028508,4,4,4,4,5,1,0,1
245171502,3,2,3,3,2,0,0,1
231851853,3,3,3,3,4,0,1,1
245194968,3,3,3,3,4,0,1,0
245176673,3,3,4,4,4,0,1,1
245141836,3,2,3,2,4,0,0,1
245122951,3,3,3,3,4,0,1,1
245211845,3,4,4,4,5,1,0,1
245047780,3,3,3,3,4,0,0,0
245071104,4,4,4,5,5,1,0,1
245190757,3,3,3,3,5,0,0,0
245237486,3,3,3,3,4,0,0,0
245141973,1,1,1,1,1,0,1,1
245111702,4,3,4,4,5,1,1,1
245007078,4,4,4,5,5,1,0,1
244950750,5,4,5,4,5,1,0,1
245205504,4,3,4,4,4,1,0,0
245122974,3,3,2,3,3,0,0,1
245052413,5,5,4,5,5,1,1,0
239018899,1,1,1,1,1,0,0,0
245225205,4,4,4,4,4,1,0,0
245138581,3,3,3,3,5,0,1,1
245241689,4,4,4,3,5,1,1,0
245216969,4,4,4,4,4,1,1,0
245150504,1,1,1,1,2,0,0,0
245206208,2,3,3,2,4,0,1,0
245092016,3,4,4,4,5,1,0,0
244978056,3,3,4,4,4,0,0,1
245192120,4,4,4,4,5,1,0,1
245150277,4,3,4,4,5,1,0,1
245212995,3,3,3,3,4,0,0,0
245010090,3,3.5,4,3.5,4,0,0,0
245195988,4,4,4,4,5,1,0,1
245184969,3,2,2,3,2,0,0,1
245220157,4,3,3,3,5,0,0,0
245161510,1,1,1,1,1,0,0,0
245091438,4,4,4,4,5,1,1,1
