Column,Feature Group
UNIQUE_ID,ID
Overall_Rating,Performance
Technical_Skills,Performance
Teamwork,Performance
Customer_Service,Performance
Hire_Again,Performance
High_Performer,Performance
Protected_Group,ID
Retained,ID
Scenario1_1_score,Scenarios
Scenario1_2_score,Scenarios
Scenario1_3_score,Scenarios
Scenario1_4_score,Scenarios
Scenario1_5_score,Scenarios
Scenario1_6_score,Scenarios
Scenario1_7_score,Scenarios
Scenario1_8_score,Scenarios
Scenario2_1_score,Scenarios
Scenario2_2_score,Scenarios
Scenario2_3_score,Scenarios
Scenario2_4_score,Scenarios
Scenario2_5_score,Scenarios
Scenario2_6_score,Scenarios
Scenario2_7_score,Scenarios
Scenario2_8_score,Scenarios
SJ_Most_1_score,Judgement
SJ_Most_2_score,Judgement
SJ_Most_3_score,Judgement
SJ_Most_4_score,Judgement
SJ_Most_5_score,Judgement
SJ_Most_6_score,Judgement
SJ_Most_7_score,Judgement
SJ_Most_8_score,Judgement
SJ_Most_9_score,Judgement
SJ_Least_1_score,Judgement
SJ_Least_2_score,Judgement
SJ_Least_3_score,Judgement
SJ_Least_4_score,Judgement
SJ_Least_5_score,Judgement
SJ_Least_6_score,Judgement
SJ_Least_7_score,Judgement
SJ_Least_8_score,Judgement
SJ_Least_9_score,Judgement
SJ_Total_1_score,Judgement
SJ_Total_2_score,Judgement
SJ_Total_3_score,Judgement
SJ_Total_4_score,Judgement
SJ_Total_5_score,Judgement
SJ_Total_6_score,Judgement
SJ_Total_7_score,Judgement
SJ_Total_8_score,Judgement
SJ_Sum,Judgement
average_S1,Personality
average_S2,Personality
average_S3,Personality
average_S4,Personality
average_S5,Personality
average_S6,Personality
average_S7,Personality
average_S8,Personality
average_S9,Personality
average_S10,Personality
average_S11,Personality
average_S12,Personality
average_S13,Personality
Biodata_01,Bio
Biodata_02,Bio
Biodata_03,Bio
Biodata_04,Bio
Biodata_05,Bio
Biodata_06,Bio
Biodata_07,Bio
Biodata_08,Bio
Biodata_09,Bio
Biodata_10,Bio
Biodata_11,Bio
Biodata_12,Bio
Biodata_13,Bio
Biodata_14,Bio
Biodata_15,Bio
Biodata_16,Bio
Biodata_17,Bio
Biodata_18,Bio
Biodata_19,Bio
Biodata_20,Bio
