UNIQUE_ID,average_S1,average_S2,average_S3,average_S4,average_S5,average_S6,average_S7,average_S8,average_S9,average_S10,average_S11,average_S12,average_S13
245021089,4.0,3.75,3.5,1.5,3.75,4.25,2.0,3.25,1.0,1.0,1.0,1.25,2.25
245181465,4.0,4.0,4.0,1.0,3.25,3.75,1.0,2.25,1.0,1.0,1.0,1.0,2.25
229682665,4.0,4.0,4.0,2.5,1.75,4.5,1.0,1.0,1.0,1.0,2.5,1.0,2.0
245174982,2.5,3.75,3.75,2.0,3.0,3.75,1.0,2.0,1.0,2.0,2.25,1.5,2.25
244979030,2.0,2.75,3.0,3.25,4.0,5.0,2.0,2.0,1.0,2.5,4.0,1.25,2.0
244953017,4.0,4.0,4.0,1.0,4.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0,1.25
245079943,1.75,2.75,2.5,2.25,2.0,4.75,2.0,2.5,2.0,1.5,2.75,1.75,2.25
245005686,1.75,3.25,2.5,3.0,2.75,3.75,1.25,3.0,1.0,2.0,2.5,2.0,2.25
245082123,1.5,3.75,3.0,2.75,2.75,4.75,1.0,2.5,1.0,1.75,4.0,1.25,1.25
245048457,2.0,2.75,2.75,3.0,1.5,4.5,1.5,1.5,1.0,2.25,3.0,1.0,2.25
245065893,3.0,3.75,4.0,1.5,3.25,5.25,1.25,2.5,2.0,1.5,2.25,2.0,2.25
244294286,3.25,3.0,2.5,2.25,3.75,5.0,1.25,3.0,1.25,2.0,1.75,2.0,2.5
240007576,3.0,4.0,3.25,2.75,1.0,5.5,1.0,1.5,1.0,1.25,1.75,2.0,2.5
245027782,1.75,2.5,1.0,2.5,1.5,4.25,1.75,3.0,1.0,2.0,3.75,1.75,2.0
245052844,1.5,3.25,2.75,1.25,1.5,3.5,1.5,1.5,1.25,2.0,4.0,2.0,1.75
245135956,4.0,4.0,4.0,1.75,1.0,4.75,1.75,2.5,1.0,1.0,2.25,1.5,2.0
245108299,3.0,4.0,4.0,2.25,2.25,5.25,1.0,2.25,1.0,1.0,2.5,1.0,1.75
245102955,2.25,3.5,2.5,4.0,2.75,5.0,2.25,2.25,1.75,1.5,3.25,1.5,2.0
245047664,3.75,2.75,3.75,3.25,1.75,,1.0,2.25,1.25,1.0,1.25,1.25,2.0
245175503,2.75,3.5,2.75,3.25,2.75,3.25,1.75,1.75,1.75,1.75,3.25,1.75,2.5
245169205,1.75,2.5,2.75,1.0,1.0,5.25,1.75,3.25,1.0,1.0,2.5,1.0,2.0
245190491,3.25,3.25,2.25,2.0,1.75,3.5,2.25,3.0,2.0,2.25,2.25,2.75,3.0
230472466,3.5,4.0,2.75,2.5,1.75,5.0,1.0,3.25,1.0,1.0,1.0,1.5,1.5
245140140,2.0,3.25,2.75,2.25,2.5,4.5,1.0,4.0,1.0,1.0,2.0,1.75,1.25
245097669,2.5,4.0,3.75,1.5,4.0,5.75,1.0,3.5,1.0,1.0,1.0,1.0,1.5
245141127,3.25,3.75,3.25,1.5,3.75,5.0,1.75,1.75,1.5,1.0,2.25,1.75,3.75
243125925,1.0,2.5,2.0,2.0,1.0,3.75,1.25,1.25,1.0,1.75,4.0,1.25,3.25
245046857,3.5,3.0,4.0,1.0,4.0,6.0,1.0,2.25,1.0,1.0,1.75,1.75,2.0
245064009,3.0,4.0,4.0,2.0,3.75,5.0,1.75,3.25,1.25,1.25,3.0,2.0,1.25
244997539,3.25,2.75,2.25,2.5,1.0,5.25,1.0,2.0,1.0,1.75,2.0,1.5,1.25
245100454,3.25,3.25,4.0,2.75,3.25,5.0,1.75,3.5,1.0,1.25,2.0,1.0,2.75
245177236,3.0,3.0,3.0,2.0,3.75,4.5,1.25,2.25,1.75,1.5,2.0,2.75,2.0
245116480,4.0,4.0,3.25,1.0,4.0,5.25,1.0,2.0,1.0,1.0,1.0,1.0,1.25
126096799,3.75,3.25,3.25,2.0,1.0,5.0,1.0,4.0,1.0,1.0,1.75,2.25,1.75
