UNIQUE_ID,Scenario1_1_score,Scenario1_2_score,Scenario1_3_score,Scenario1_4_score,Scenario1_5_score,Scenario1_6_score,Scenario1_7_score,Scenario1_8_score,Scenario2_1_score,Scenario2_2_score,Scenario2_3_score,Scenario2_4_score,Scenario2_5_score,Scenario2_6_score,Scenario2_7_score,Scenario2_8_score
245021089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245181465,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
229682665,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
245174982,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244979030,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244953017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245079943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245005686,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245082123,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245048457,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0
245065893,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244294286,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
240007576,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1
245027782,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245052844,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245135956,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245108299,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245102955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245047664,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245175503,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245169205,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
245190491,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
230472466,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1
245140140,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
245097669,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245141127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243125925,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
245046857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245064009,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
244997539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245100454,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245177236,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
245116480,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126096799,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244077674,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
241587033,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245172884,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
245240099,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245212936,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
244268979,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245116652,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
244968615,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245217084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245092884,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245078947,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245056245,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245113326,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
245145398,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0
245254382,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
244975130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245203228,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245040507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245075681,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
244979128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244978145,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
128156332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244988831,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245086858,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
245205751,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
242349691,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245145566,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
245171683,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
245113383,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
240377021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245109714,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121031960,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245112083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
237737609,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
245012814,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245059430,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245225854,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
245174302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245255866,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245180688,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245037777,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
239673529,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244941321,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
239417749,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1
243307699,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245145426,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
245240576,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245187321,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245089375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245123419,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0
245135727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245085363,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244988022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245196662,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245174721,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
232853596,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244956729,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
245020933,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245191637,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123004689,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
241935259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245215953,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1
245057988,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
245159582,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
245254284,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0
240889788,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
242114186,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245006312,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245014518,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
242021816,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244995996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245173281,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245084496,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245010131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245155664,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
244993435,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
245028508,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245171502,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
231851853,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
245194968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245176673,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
245141836,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245122951,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245211845,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245047780,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245071104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245190757,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245237486,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
245141973,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245111702,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
245007078,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244950750,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245205504,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245122974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
245052413,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
239018899,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
245225205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245138581,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
245241689,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
245216969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245150504,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
245206208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245092016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244978056,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245192120,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
245150277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245212995,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1
245010090,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245195988,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245184969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245220157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245161510,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245091438,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245213832,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244994975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245002889,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
245103913,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
245129234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245001083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245018728,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245206166,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
245170042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245185446,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1
245118516,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245226016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245224911,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0
240096314,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245125043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245230290,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245216311,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
245175008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245084041,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245133882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245031741,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245048205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
