UNIQUE_ID,Scenario1_1_score,Scenario1_2_score,Scenario1_3_score,Scenario1_4_score,Scenario1_5_score,Scenario1_6_score,Scenario1_7_score,Scenario1_8_score,Scenario2_1_score,Scenario2_2_score,Scenario2_3_score,Scenario2_4_score,Scenario2_5_score,Scenario2_6_score,Scenario2_7_score,Scenario2_8_score,SJ_Most_1_score,SJ_Most_2_score,SJ_Most_3_score,SJ_Most_4_score,SJ_Most_5_score,SJ_Most_6_score,SJ_Most_7_score,SJ_Most_8_score,SJ_Most_9_score,SJ_Least_1_score,SJ_Least_2_score,SJ_Least_3_score,SJ_Least_4_score,SJ_Least_5_score,SJ_Least_6_score,SJ_Least_7_score,SJ_Least_8_score,SJ_Least_9_score,SJ_Total_1_score,SJ_Total_2_score,SJ_Total_3_score,SJ_Total_4_score,SJ_Total_5_score,SJ_Total_6_score,SJ_Total_7_score,SJ_Total_8_score,SJ_Sum,average_S1,average_S2,average_S3,average_S4,average_S5,average_S6,average_S7,average_S8,average_S9,average_S10,average_S11,average_S12,average_S13,Biodata_01,Biodata_02,Biodata_03,Biodata_04,Biodata_05,Biodata_06,Biodata_07,Biodata_08,Biodata_09,Biodata_10,Biodata_11,Biodata_12,Biodata_13,Biodata_14,Biodata_15,Biodata_16,Biodata_17,Biodata_18,Biodata_19,Biodata_20,predicted_Y
245145500,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,3.0,5.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,12.0,4.0,4.0,3.5,3.5,1.5,4.75,1.0,2.0,1.0,1.0,1.5,1.5,2.25,1.0,3.0,5.0,1.0,1.0,1.0,1.0,6.0,4.0,5.0,1.0,2.0,4.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,0.5112746134879308
245090787,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,10.0,2.75,2.5,3.25,1.5,1.75,5.5,1.25,2.25,1.25,1.0,2.75,1.0,1.75,1.0,1.0,5.0,5.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,2.0,6.0,1.0,0.5101977986621351
245112963,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,11.0,1.75,3.0,3.25,2.5,1.5,5.75,1.25,2.25,1.0,1.0,2.5,1.5,2.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,0.5097519660413513
245101605,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,4.0,5.0,6.0,0.0,1.0,2.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,-1.0,-2.0,2.0,1.0,1.0,1.0,2.0,5.0,2.5,4.0,3.75,4.0,1.0,5.25,1.0,1.0,1.0,1.0,3.0,1.25,2.5,1.0,3.0,5.0,5.0,2.0,1.0,1.0,6.0,3.0,4.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,0.5093422442063428
245026619,0.0,0.0,1.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,2.5,3.5,3.25,1.0,3.25,3.75,1.0,4.0,1.0,1.0,1.75,1.75,2.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,3.0,1.0,0.5089541823477474
245130595,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,2.5,3.5,3.25,1.0,2.5,5.25,1.0,3.25,1.0,1.0,1.75,1.0,3.5,1.0,3.0,3.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,3.0,1.0,2.0,0.5084450304226683
245100055,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,2.0,2.0,2.0,10.0,2.5,3.75,3.25,3.25,1.0,5.5,1.0,1.5,1.0,1.0,3.25,1.25,2.5,4.0,1.0,5.0,7.0,1.0,2.0,4.0,1.0,7.0,1.0,1.0,2.0,4.0,1.0,2.0,5.0,7.0,7.0,5.0,1.0,0.5081866289278936
245229179,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,5.0,2.0,0.0,8.0,5.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,-1.0,2.0,1.0,1.0,0.0,1.0,2.0,8.0,2.5,2.5,1.5,2.75,1.0,5.25,1.0,2.25,1.0,1.0,2.25,2.25,2.25,3.0,3.0,5.0,4.0,2.0,2.0,1.0,4.0,3.0,4.0,1.0,4.0,1.0,3.0,4.0,1.0,3.0,3.0,5.0,1.0,0.5078752083657833
244942310,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,5.0,2.0,0.0,1.0,2.0,1.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.2,1.0,1.0,1.0,1.0,2.0,1.0,7.0,2.5,3.5,3.25,2.0,2.25,4.5,1.25,3.0,1.0,1.0,3.75,1.5,2.8,2.0,1.0,3.0,7.0,1.0,2.0,2.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,7.0,3.2,1.0,0.5078529821637889
245113460,1.0,0.0,1.0,4.0,1.0,2.0,0.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0,2.0,1.0,1.0,1.0,1.0,-1.0,1.0,2.0,8.0,1.0,4.0,4.0,4.0,1.0,4.5,1.0,3.25,1.0,1.0,2.5,1.0,1.25,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,0.5071418806863051
