UNIQUE_ID,Scenario1_1_score,Scenario1_2_score,Scenario1_3_score,Scenario1_4_score,Scenario1_5_score,Scenario1_6_score,Scenario1_7_score,Scenario1_8_score,Scenario2_1_score,Scenario2_2_score,Scenario2_3_score,Scenario2_4_score,Scenario2_5_score,Scenario2_6_score,Scenario2_7_score,Scenario2_8_score,SJ_Most_1_score,SJ_Most_2_score,SJ_Most_3_score,SJ_Most_4_score,SJ_Most_5_score,SJ_Most_6_score,SJ_Most_7_score,SJ_Most_8_score,SJ_Most_9_score,SJ_Least_1_score,SJ_Least_2_score,SJ_Least_3_score,SJ_Least_4_score,SJ_Least_5_score,SJ_Least_6_score,SJ_Least_7_score,SJ_Least_8_score,SJ_Least_9_score,SJ_Total_1_score,SJ_Total_2_score,SJ_Total_3_score,SJ_Total_4_score,SJ_Total_5_score,SJ_Total_6_score,SJ_Total_7_score,SJ_Total_8_score,SJ_Sum,average_S1,average_S2,average_S3,average_S4,average_S5,average_S6,average_S7,average_S8,average_S9,average_S10,average_S11,average_S12,average_S13,Biodata_01,Biodata_02,Biodata_03,Biodata_04,Biodata_05,Biodata_06,Biodata_07,Biodata_08,Biodata_09,Biodata_10,Biodata_11,Biodata_12,Biodata_13,Biodata_14,Biodata_15,Biodata_16,Biodata_17,Biodata_18,Biodata_19,Biodata_20,predicted_Y
244973717,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24977252047315746,0.7196176604460628,0.6865538735529829,0.7268683274021353,0.8735529830810329,0.5237883503779458,0.7748108589230085,0.5434298440979956,0.4417259786476868,0.33894449499545043,0.6217569412835685,0.4122885129118433,0.5573843416370107,0.609973285841496,0.7456647398843931,0.4677347574543837,0.4302895322939865,0.4813167259786477,0.5887170154686079,1.3413746017296313,1.0988423864648262,1.2842526690391458,1.4835262689225288,1.2694530902623389,1.242545616377392,0.9737193763919822,9.282431024656454,2.0,2.5,3.75,1.5,1.25,4.0,2.0,2.0,1.25,1.0,3.25,1.5,3.75,1.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,2.0,1.0,1.0
244963250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.24977252047315746,0.7196176604460628,0.1340160284951024,0.12233096085409252,0.8735529830810329,0.5237883503779458,0.7748108589230085,0.5434298440979956,0.4417259786476868,0.4372156505914468,0.6217569412835685,0.4122885129118433,0.5573843416370107,0.609973285841496,0.7456647398843931,0.4677347574543837,0.4302895322939865,0.4813167259786477,0.6869881710646042,1.3413746017296313,0.5463045414069456,0.6797153024911032,1.4835262689225288,1.2694530902623389,1.242545616377392,0.9737193763919822,8.223626968646526,4.0,2.25,3.75,3.25,1.0,5.25,2.25,2.25,1.0,1.0,1.75,1.75,2.0,1.0,3.0,5.0,2.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0
245074136,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.24977252047315746,0.7196176604460628,0.06767586821015137,0.12233096085409252,0.10685663401602848,0.5237883503779458,0.7748108589230085,0.5434298440979956,0.3563167259786477,0.33894449499545043,0.6217569412835685,0.2889581478183437,0.21218861209964407,0.609973285841496,0.7456647398843931,0.4677347574543837,0.533630289532294,0.449288256227758,0.5887170154686079,1.3413746017296313,0.3566340160284951,0.33451957295373663,0.7168299198575245,1.2694530902623389,1.242545616377392,1.0770601336302894,6.9271339663080145,1.0,4.0,3.25,1.5,1.0,4.75,1.0,1.75,1.0,1.0,1.0,1.0,1.5,2.0,4.0,5.0,4.0,1.0,1.0,1.0,6.0,4.0,4.0,1.0,1.0,4.0,2.0,1.0,5.0,1.0,4.0,6.0,1.0,1.0
242123170,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5978161965423112,0.7196176604460628,0.6865538735529829,0.047597864768683266,0.011130899376669634,0.5237883503779458,0.7748108589230085,0.4307349665924276,0.15258007117437722,0.1951774340309372,0.14838416021847975,0.4122885129118433,0.21218861209964407,0.008904719501335706,0.19608714984437528,0.4677347574543837,0.4302895322939865,0.449288256227758,0.7929936305732485,0.8680018206645426,1.0988423864648262,0.2597864768683274,0.02003561887800534,0.7198755002223208,1.242545616377392,0.8610244988864142,5.863105548935077,3.5,3.75,3.25,4.0,1.0,5.75,1.25,4.0,1.0,1.0,3.25,1.0,1.25,2.0,3.0,5.0,4.0,2.0,1.0,1.0,6.0,3.0,2.0,1.0,2.0,4.0,1.0,2.0,5.0,2.0,4.0,1.0,1.0,1.0
245002975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5978161965423112,0.7196176604460628,0.6865538735529829,0.7268683274021353,0.8735529830810329,0.0920409070698088,0.7748108589230085,0.4307349665924276,0.4417259786476868,0.33894449499545043,0.6217569412835685,0.4122885129118433,0.5573843416370107,0.609973285841496,0.7456647398843931,0.3894080996884735,0.4302895322939865,0.4813167259786477,0.9367606915377616,1.3413746017296313,1.0988423864648262,1.2842526690391458,1.4835262689225288,0.8377056469542019,1.164218958611482,0.8610244988864142,9.007705722145992,3.25,4.0,4.0,1.0,1.0,5.5,1.5,2.75,1.0,1.0,2.5,1.0,1.25,2.0,4.0,5.0,4.0,1.0,1.0,1.0,6.0,1.0,4.0,8.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0
245128884,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24977252047315746,0.7196176604460628,0.6865538735529829,0.7268683274021353,0.8735529830810329,0.5237883503779458,0.7748108589230085,0.5434298440979956,0.15258007117437722,0.4372156505914468,0.2071005917159764,0.4122885129118433,0.5573843416370107,0.609973285841496,0.19608714984437528,0.12817089452603472,0.533630289532294,0.449288256227758,0.6869881710646042,0.9267182521620392,1.0988423864648262,1.2842526690391458,1.4835262689225288,0.7198755002223208,0.9029817534490432,1.0770601336302894,8.180245134954799,2.5,4.0,4.0,1.75,4.0,4.5,1.0,4.0,1.0,1.0,4.0,2.5,2.75,1.0,3.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,3.0,3.0,2.0,1.0
243359684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.1037306642402184,0.17979062357760586,0.6865538735529829,0.7268683274021353,0.10685663401602848,0.5237883503779458,0.14196706720071206,0.4307349665924276,0.049377224199288264,0.4372156505914468,0.022758306781975414,0.4122885129118433,0.5573843416370107,0.27382012466607303,0.7456647398843931,0.4677347574543837,0.533630289532294,0.4813167259786477,0.5409463148316652,0.20254893035958127,1.0988423864648262,1.2842526690391458,0.3806767586821015,1.2694530902623389,0.6097018246550957,0.9643652561247216,6.350787230419476,3.25,2.75,3.25,2.0,1.75,4.5,1.0,1.25,1.0,1.25,1.75,1.25,2.25,1.0,3.0,2.0,1.0,3.0,1.0,1.0,6.0,2.0,7.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,6.0,1.0,1.0,1.0
245051869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5978161965423112,0.019116977696859355,0.1340160284951024,0.10320284697508897,0.10685663401602848,0.5237883503779458,0.7748108589230085,0.4307349665924276,0.4417259786476868,0.1951774340309372,0.2071005917159764,0.4122885129118433,0.5573843416370107,0.609973285841496,0.7456647398843931,0.4677347574543837,0.533630289532294,0.4813167259786477,0.7929936305732485,0.2262175694128357,0.5463045414069456,0.6605871886120996,0.7168299198575245,1.2694530902623389,1.242545616377392,0.9643652561247216,6.419296812627107,2.5,4.0,4.0,1.75,4.0,6.0,1.0,1.0,1.0,1.0,3.25,2.5,1.7,1.0,3.0,1.0,3.0,1.0,1.0,2.0,6.0,4.0,5.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,4.0,1.0,2.0,1.0
244963803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24977252047315746,0.7196176604460628,0.6865538735529829,0.7268683274021353,0.8735529830810329,0.5237883503779458,0.7748108589230085,0.4307349665924276,0.4417259786476868,0.4372156505914468,0.6217569412835685,0.4122885129118433,0.5573843416370107,0.27382012466607303,0.7456647398843931,0.3894080996884735,0.533630289532294,0.4813167259786477,0.6869881710646042,1.3413746017296313,1.0988423864648262,1.2842526690391458,1.147373107747106,1.2694530902623389,1.164218958611482,0.9643652561247216,8.956868241043855,1.0,3.25,3.25,4.0,4.0,4.75,1.0,4.0,1.0,1.0,4.0,1.75,1.25,1.0,3.0,5.0,4.0,2.0,2.0,1.0,4.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,4.0,4.0,1.0,1.0
245032229,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.24977252047315746,0.7196176604460628,0.06767586821015137,0.10320284697508897,0.10685663401602848,0.5237883503779458,0.7748108589230085,0.5434298440979956,0.3563167259786477,0.33894449499545043,0.6217569412835685,0.08904719501335707,0.2179715302491103,0.27382012466607303,0.7456647398843931,0.4677347574543837,0.4302895322939865,0.449288256227758,0.5887170154686079,1.3413746017296313,0.15672306322350846,0.3211743772241993,0.3806767586821015,1.2694530902623389,1.242545616377392,0.9737193763919822,6.274383899359761,1.75,3.75,2.5,1.0,1.0,4.25,1.75,3.25,1.0,1.25,3.25,1.25,2.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,7.0,3.0,5.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0
