,UNIQUE_ID,Hire
0,245135734,0
1,245259279,0
2,245156612,0
3,245180089,0
4,245133624,0
6,245217078,0
8,245061861,0
9,245192684,0
5,245254661,0
10,245187519,0
7,245089635,0
24,245176277,0
11,245085559,0
18,245087299,0
26,245212568,0
16,245155518,0
14,245207750,0
13,245161496,0
19,245180993,0
17,245179298,0
20,245133666,0
21,245103618,0
36,245162029,0
12,245194959,0
25,245112739,0
22,245216837,0
15,245184928,0
31,245219861,0
29,245117218,0
32,245112344,0
23,245251766,0
30,244937136,0
27,245202457,0
47,245206667,0
28,245240363,0
40,245125053,0
41,245160706,0
34,245052255,0
52,245109100,0
38,245217109,0
42,245207096,0
45,245033187,0
44,244973486,0
46,245123847,0
39,245023532,0
51,245082142,0
33,245103289,0
37,245178847,0
43,245087592,0
58,245081002,0
35,245080295,0
54,245185561,0
49,245201938,0
66,244942310,0
48,245122625,0
56,245084645,0
57,245052715,0
92,245133544,0
61,245087440,0
69,245177051,0
64,245251641,0
50,245185367,0
62,245041314,0
65,245108959,0
88,245155926,0
70,245187705,0
63,245140623,0
84,244956008,0
73,245107110,0
60,245103573,0
55,245166324,0
76,245186678,0
68,245130013,0
59,244953974,0
79,245086101,0
86,245161977,0
101,245201829,0
132,244992620,0
53,244956548,0
74,245159806,0
85,245042580,0
72,244961587,0
75,245037781,0
77,244964866,0
81,245248745,0
111,245196446,0
96,245254600,0
71,245187516,0
121,245113588,0
87,245160307,0
83,245171707,0
67,245245339,0
98,245190921,0
107,245052320,0
82,245085023,0
91,244154418,0
80,245187622,0
97,245231726,0
102,245087156,0
140,245060428,0
108,245120912,0
156,245057767,0
93,245066239,0
115,245146753,0
106,245096151,0
78,245041848,0
146,244989776,0
90,244981928,0
135,245091295,0
95,244964512,0
127,245043129,0
131,245145699,0
89,245080023,0
110,245141516,0
105,245212741,0
100,245230656,0
204,245160525,0
94,245177289,0
128,245205872,0
116,245008235,0
123,245219596,0
109,245081248,0
151,245066309,0
104,245174356,0
144,245057597,0
120,244929932,0
134,245164664,0
99,244978941,0
199,245081327,0
118,245181937,0
159,245094068,0
112,245278411,0
133,245103431,0
113,244941406,0
114,245185719,0
126,244961199,0
162,245008120,0
153,245107285,0
192,245156413,0
129,245152512,0
122,245180938,0
166,245160608,0
182,245140681,0
119,244984511,0
130,245191639,0
136,245118882,0
171,245165734,0
178,245062205,0
137,245235495,0
149,245146910,0
103,245066685,0
191,245081195,0
225,245096593,0
147,245064598,0
150,244932780,0
202,245012501,0
145,245069812,0
193,245198315,0
237,245195860,0
206,245226499,0
163,245120501,0
219,245090239,0
155,245265140,0
125,245167396,0
198,245089960,0
179,245091951,0
165,245254782,0
174,245142107,0
177,245140866,0
143,245231599,0
217,244410361,0
148,245252169,0
180,245269761,0
124,245185380,0
117,245174611,0
160,245146571,0
169,245170080,0
196,245130635,0
181,245179128,0
139,245202022,0
167,245090631,0
188,245191598,0
231,245067450,0
141,245129244,0
175,245033641,0
183,245102196,0
168,245157299,0
314,244935805,0
173,245043116,0
157,245139839,0
172,245086156,0
164,245066388,0
158,245038356,0
200,244947722,0
203,245100055,0
241,245181016,0
228,245171396,0
189,244972216,0
138,245037442,0
226,245113645,0
154,245170988,0
197,245063581,0
238,245027842,0
187,245091541,0
184,245172978,0
185,245177015,0
287,245155678,0
221,245129996,0
209,245036746,0
186,245119120,0
296,245112963,0
230,244961453,0
224,245229412,0
213,245207622,0
176,244985666,0
271,245205961,0
201,238279727,0
142,245060967,0
255,245090400,0
227,244953146,0
195,245144002,0
161,244256659,0
194,245166636,0
152,245165681,0
214,245192188,0
218,245118453,0
190,245264514,0
302,245242303,0
233,245033117,0
207,245247459,0
210,245127952,0
208,245105628,0
170,245220483,0
299,245190675,0
212,244988909,0
234,245129619,0
270,245150901,0
260,244964621,0
205,245260360,0
220,245156067,0
240,245141551,0
275,245070671,0
253,245068278,0
332,245040488,0
211,245139162,0
229,245108253,0
292,245010243,0
323,245125157,0
277,245097228,0
232,244980762,0
257,245174838,0
319,245154603,0
281,245096767,0
215,245167380,0
223,245100351,0
285,245070807,0
364,245041843,0
249,245144693,0
250,245134457,0
222,245043700,0
264,245092816,0
266,245159824,0
236,245042066,0
244,245167363,0
251,245185960,0
261,245151535,0
276,245052904,0
265,245123750,0
280,245212369,0
235,245101924,0
272,245160450,0
268,244950168,0
464,245025486,0
328,245109906,0
274,245246002,0
252,245097030,0
309,245154295,0
239,245079281,0
329,245230120,0
269,244994659,0
288,245152431,0
282,245196443,0
316,245179347,0
375,242288245,0
267,245181576,0
242,245170811,0
284,245216653,0
262,245147024,0
333,245089141,0
245,245160514,0
254,245118389,0
345,244998858,0
293,245090787,0
290,245086817,0
243,245123647,0
304,245113092,0
216,245226688,0
263,245000430,0
283,245051138,0
348,245103244,0
380,245274271,0
306,245085657,0
301,245222606,0
354,245030976,0
303,245156058,0
248,245140636,0
359,245260675,0
246,245150868,0
258,245231409,0
325,245196496,0
344,245171549,0
425,245235335,0
318,245150432,0
256,245048211,0
432,245007964,0
466,245129209,0
369,245229179,0
341,245127268,0
291,245185113,0
300,245112222,0
326,245074708,0
331,245118260,0
289,245202601,0
308,245081525,0
321,245084724,0
247,245061918,0
305,232320128,0
279,245140220,0
385,245219469,0
336,245139808,0
353,245156010,0
298,245120380,0
273,245219245,0
388,245274386,0
365,245144600,0
376,245173085,0
315,245108951,0
393,244956347,0
310,245142309,0
426,245101605,0
307,245190028,0
367,245145198,0
403,245190787,0
286,245000497,0
504,245176103,0
343,245015823,0
312,245140604,0
394,245012886,0
445,245130791,0
295,245084401,0
259,245146287,0
407,244945589,0
347,244968407,0
377,245241642,0
324,245162135,0
357,245196796,0
340,245017414,0
338,245129327,0
342,245109402,0
358,245057464,0
363,245247588,0
339,245150887,0
396,245150741,0
334,245152181,0
311,245090896,0
437,245171593,0
278,245255482,0
330,245074901,0
327,245121180,0
418,245264854,0
350,244989845,0
477,245241743,0
384,245164574,0
475,245074136,0
351,245048477,0
639,245186493,0
467,245169510,0
313,245033144,0
405,245236012,0
370,245170368,0
335,245201579,0
378,245206968,0
409,245112933,0
434,245152473,0
371,244960543,0
429,245118006,0
413,245046356,0
412,245055561,0
395,245076253,0
337,245097521,0
417,245033338,0
360,245032916,0
322,245148232,0
494,245169755,0
368,245107170,0
373,245087527,0
317,245155707,0
441,245032943,0
297,245180279,0
349,245201215,0
372,245205873,0
391,245226474,0
397,245122791,0
414,245256600,0
479,245127156,0
401,245194874,0
420,245229080,0
473,245084165,0
483,245102007,0
381,245134095,0
626,245080585,0
392,245056384,0
461,241590422,0
844,245205581,0
484,242594670,0
356,245175423,0
430,245037991,0
448,245067180,0
442,245100202,0
443,245178745,0
366,245152191,0
387,245036486,0
446,245036779,0
320,245084090,0
382,245140745,0
404,245175605,0
383,245086374,0
490,245080593,0
469,245213755,0
362,245124796,0
386,245211118,0
444,245091936,0
361,245155695,0
439,245207949,0
454,244962788,0
471,245119463,0
478,245252764,0
355,245142086,0
455,245092129,0
470,245150592,0
398,245102496,0
517,245225600,0
389,235264448,0
399,245098090,0
424,245166714,0
436,245195418,0
456,242123170,0
400,245113526,0
294,245170685,0
614,245074836,0
458,245056367,0
499,244968611,0
390,245073783,0
584,245070234,0
449,245133964,0
433,245166127,0
510,245074816,0
506,240101779,0
374,244984666,0
628,244292501,0
422,245198971,0
541,245192771,0
451,245176908,0
586,244997072,0
512,245195558,0
411,240552567,0
406,238465003,0
463,245098358,0
452,245060833,0
465,245089077,0
528,245095602,0
468,245154486,0
419,245140094,0
346,244988097,0
654,245040289,0
474,245033331,0
447,245087253,0
352,245272968,0
482,245021394,0
583,245099705,0
687,245130595,0
416,245067471,0
503,245152331,0
527,245119636,0
522,245026053,0
402,245152109,0
511,245080312,0
514,245206276,0
524,245128153,0
486,245093227,0
410,245150929,0
553,245248495,0
472,245151303,0
428,244989604,0
538,245120341,0
604,245106722,0
408,245085027,0
526,232487774,0
423,245192848,0
534,245124326,0
415,245081120,0
550,245013968,0
487,245171693,0
521,245101449,0
489,244987431,0
601,245064689,0
606,245128977,0
379,245111600,0
488,245102932,0
560,245141189,0
840,243405074,0
621,245052570,0
497,245108955,0
703,245087423,0
754,233243321,0
531,245202667,0
495,245180439,0
572,245007355,0
736,245089503,0
453,245091525,0
535,245122905,0
459,245114491,0
633,245139317,0
507,245120392,0
421,245097154,0
440,245046316,0
574,245135377,0
669,245129336,0
706,245191350,0
567,245122170,0
516,245144704,0
505,245229956,0
733,245140781,0
848,245096766,0
460,245213749,0
457,245213509,0
864,245155605,0
481,245152377,0
564,245097156,0
576,245119710,0
724,245113043,0
616,245187838,0
529,245066035,0
435,245207131,0
648,245140443,0
579,245120903,0
635,245187396,0
542,235440469,0
543,245028247,0
518,245178893,0
547,245113460,0
540,245044399,0
734,245091726,0
438,245022765,0
496,244987651,0
546,245114154,0
551,245150844,0
612,245140224,0
427,245127407,0
636,245061568,0
563,244957600,0
554,244954494,0
797,245002178,0
624,245241474,0
462,245246968,0
595,245022720,0
548,245043563,0
573,245117275,0
643,245175066,0
549,244998661,0
556,245005321,0
561,245146365,0
585,245012655,0
617,245060086,0
431,125746000,0
675,245117471,0
533,245062316,0
498,245202774,0
513,245256148,0
596,245040501,0
664,245202936,0
647,244969026,0
632,244972267,0
590,245091347,0
509,245124865,0
539,245074086,0
637,245079631,0
519,245181475,0
795,244944634,0
618,245211902,0
493,244944677,0
480,245136733,0
841,245080148,0
692,244960688,0
709,245192889,0
696,245208325,0
492,244948376,0
805,245202932,0
508,245165790,0
650,244955263,0
640,245075574,0
849,245225545,0
476,245186049,0
721,245261109,0
582,245145500,0
749,244588530,0
671,245206266,0
732,245032229,0
520,245187809,0
627,245022065,0
598,245096597,0
536,245224795,0
566,245247172,0
525,245174884,0
741,245109472,0
555,245041630,0
820,245060040,0
608,245128723,0
673,244965338,0
826,245063682,0
702,245123100,0
578,245121971,0
594,241500563,0
728,245150553,0
537,244954960,0
642,245113454,0
491,245033540,0
592,245070148,0
611,245187397,0
581,245206550,0
750,239789003,0
597,245205740,0
761,245152065,0
620,245147827,0
668,245231802,0
500,245096499,0
544,245033630,0
562,245117338,0
613,245180098,0
1002,245073284,0
780,245128884,0
580,244973687,0
638,244964786,0
681,245116930,0
565,245173002,0
777,244945447,0
530,124928398,0
485,245128274,0
571,244989621,0
843,245224891,0
558,245112638,0
679,245269934,0
450,245207890,0
569,245156732,0
557,244936350,0
515,245155919,0
655,245116698,0
651,245109529,0
772,245060592,0
663,245084500,0
502,244922410,0
755,231577651,0
808,245216887,0
545,245129377,0
984,245114523,0
759,245127441,0
699,245073628,0
649,245155432,0
501,245138831,0
577,245181756,0
631,243026936,0
757,244949631,0
726,245090795,0
792,244953027,0
559,245121012,0
886,245180819,0
523,244965040,0
813,245225154,0
889,245204977,0
804,245085490,0
610,244954480,0
570,245192990,0
811,245151183,0
591,245153046,0
1036,245075748,0
685,245130237,0
824,245151636,0
593,245237149,0
630,245256472,0
615,245152751,0
809,245060970,0
661,232817673,0
892,245078913,0
713,245144803,0
774,245205838,0
851,245190894,0
660,245085194,0
1019,245196515,0
731,245185718,0
684,244968095,0
801,245172739,0
589,245014647,0
771,245207900,0
825,245109114,0
695,245206687,0
874,245036031,0
880,245047872,0
552,245140686,0
830,245195133,0
872,245091697,0
768,244964867,0
955,245267706,0
682,244978580,0
619,244973717,0
587,245091691,0
962,245098061,0
599,245162263,0
607,245098289,0
623,245226779,0
683,245011008,0
730,245078767,0
674,245113613,0
980,245226345,0
568,245046454,0
869,245107518,0
881,244985227,0
847,245147039,0
931,245095777,0
725,245083894,0
943,245146183,0
667,245217086,0
686,245092727,0
714,245124874,0
974,245085596,0
659,245107744,0
798,245116564,0
691,245169787,0
644,245146885,0
977,245063824,0
588,245194566,0
740,245205015,0
739,223699200,0
656,245093334,0
708,245118273,0
629,245256028,0
766,245241237,0
815,245229020,0
748,245079388,0
722,245155312,0
850,245113639,0
783,245112728,0
600,245087708,0
602,245180894,0
658,245060099,0
700,245056800,0
711,245141549,0
689,245224739,0
765,245075618,0
641,234973763,0
763,245084894,0
662,245152535,0
622,244958003,0
863,245101773,0
769,244964597,0
793,245147704,0
817,245134003,0
532,245171170,0
976,245075032,0
838,245094053,0
1056,244963803,0
875,245016686,0
1048,244940560,0
605,245202214,0
1246,245108719,0
707,245100492,0
790,245205853,0
832,239031344,0
806,245200991,0
677,245093196,0
575,245057316,0
802,244968934,0
645,244985780,0
710,245145157,0
787,244629031,0
1023,245242755,0
751,245065075,0
609,245139710,0
745,245140829,0
922,245100424,0
603,245247439,0
987,244049660,0
1284,244286331,0
718,245086075,0
694,245074029,0
719,245220226,0
828,245195504,0
743,245169047,0
735,245061530,0
983,245096120,0
883,245096473,0
778,245174637,0
898,245093346,0
760,245017841,0
779,245111704,0
894,245117360,0
678,245196918,0
657,245090762,0
782,237637272,0
665,245146648,0
717,244979023,0
810,245118395,0
918,243391758,0
762,245134696,0
919,241817275,0
